name,description,packagelist,default,uservisible
"Headless Management,无图形终端系统管理工具","Tools for managing the system without an attached graphical console.,用于管理无图像终端系统的工具。","{""PackageKit"": ""mandatory"", ""cockpit"": ""mandatory"", ""openssh-server"": ""mandatory"", ""sscg"": ""default""}",true,true
"Infiniband Support,Infiniband 支持","Software designed for supporting clustering, grid connectivity, and low-latency, high bandwidth storage using RDMA-based InfiniBand, iWARP, RoCE, and OPA fabrics.,","{""libibverbs"": ""mandatory"", ""libibverbs-utils"": ""mandatory"", ""librdmacm"": ""mandatory"", ""librdmacm-utils"": ""mandatory"", ""rdma-core"": ""mandatory"", ""ibacm"": ""default"", ""iwpmd"": ""default"", ""perftest"": ""default"", ""srp_daemon"": ""default"", ""opensm"": ""optional""}",true,false
"Input Methods,输入法","Input method packages for the input of international text.,输入非英文文本的输入法软件包","{""ibus-m17n"": ""default"", ""ibus-sayura"": ""optional"", ""ibus-table"": ""optional"", ""ibus-table-array30"": ""optional"", ""gtk2-immodule-xim"": ""conditional"", ""gtk3-immodule-xim"": ""conditional"", ""ibus-gtk2"": ""conditional"", ""ibus-gtk3"": ""conditional""}",true,false
"Internet Applications,互联网应用程序","Email, chat, and video conferencing software.,电子邮件、聊天和视频会议软件。",{},false,false
"Internet Browser,互联网浏览器","The Firefox web browser,Firefox web 浏览器","{""firefox"": ""mandatory""}",true,false
"Java Platform,Java 平台","Java support for the Red Hat Enterprise Linux Server and Desktop Platforms.,Red Hat Enterprise Linux 服务器和桌面平台的 Java 支持。","{""java-1.8.0-openjdk"": ""mandatory""}",true,false
"Large Systems Performance,大系统性能","Performance support tools for large systems.,用于大型系统的性能支持工具。","{""numactl"": ""mandatory"", ""numad"": ""mandatory"", ""hwloc"": ""default"", ""mstflint"": ""default"", ""qperf"": ""default"", ""libvma"": ""optional""}",true,false
"Legacy UNIX Compatibility,传统 UNIX 兼容性","Compatibility programs for migration from or working with legacy UNIX environments.,用于从继承 UNIX 环境中迁移或者可用于该环境的兼容程序。","{""mksh"": ""optional""}",true,true
"Legacy X Window System Compatibility,传统 X Windows 系统的兼容性","Compatibility programs for migration from or working with legacy X Window System environments.,用于从继承 X Windows 环境中迁移或者可用于该环境的兼容程序。","{""libXmu"": ""default"", ""xorg-x11-fonts-ISO8859-1-100dpi"": ""default"", ""xorg-x11-fonts-Type1"": ""default"", ""xorg-x11-fonts-misc"": ""default"", ""xterm"": ""optional""}",true,false
"Mail Server,邮件服务器","These packages allow you to configure an IMAP or SMTP mail server.,这些软件包允许您配置 IMAP 或 Postfix 邮件服务器。","{""cyrus-sasl"": ""default"", ""postfix"": ""default""}",true,false
"Mainframe Access,主框架访问","Tools for accessing mainframe computing resources.,访问主框架计算源的工具。","{""x3270-text"": ""default""}",true,false
"Network File System Client,网络文件系统客户端","Enables the system to attach to network storage.,启用该系统附加到网络存储。","{""cifs-utils"": ""mandatory"", ""device-mapper-multipath"": ""mandatory"", ""fcoe-utils"": ""mandatory"", ""gssproxy"": ""mandatory"", ""iscsi-initiator-utils"": ""mandatory"", ""lldpad"": ""mandatory"", ""nfs-utils"": ""mandatory"", ""nfs4-acl-tools"": ""mandatory"", ""samba-client"": ""mandatory"", ""cachefilesd"": ""optional"", ""cgdcbxd"": ""mandatory""}",true,false
"Network Servers,网络服务器","These packages include network-based servers such as DHCP, Kerberos and NIS.,这些软件包包括基于网络的服务器，例如 DHCP、Kerberos 和 NIS。","{""dhcp-server"": ""optional"", ""krb5-server"": ""optional"", ""dnsmasq"": ""optional"", ""freeradius"": ""optional"", ""libreswan"": ""optional"", ""radvd"": ""optional"", ""rsyslog"": ""optional"", ""rsyslog-mysql"": ""optional"", ""rsyslog-pgsql"": ""optional"", ""rsyslog-relp"": ""optional"", ""tang"": ""optional"", ""tftp-server"": ""optional""}",true,true
"Networking Tools,联网工具","Tools for configuring and analyzing computer networks.,配置和分析计算机网络的工具。","{""arpwatch"": ""optional"", ""ipset"": ""optional"", ""iptraf-ng"": ""optional"", ""iptstate"": ""optional"", ""dnsmasq"": ""optional"", ""freeradius"": ""optional"", ""libreswan"": ""optional"", ""radvd"": ""optional"", ""rsyslog"": ""optional"", ""rsyslog-mysql"": ""optional"", ""rsyslog-pgsql"": ""optional"", ""rsyslog-relp"": ""optional"", ""tang"": ""optional"", ""tftp-server"": ""optional""}",true,false
"Common NetworkManager submodules,","This group contains NetworkManager submodules that are commonly used, but may not be wanted in some streamlined configurations.,","{""NetworkManager-bluetooth"": ""default"", ""NetworkManager-wifi"": ""default"", ""NetworkManager-wwan"": ""default"", ""dhcp"": ""default"", ""iptables"": ""default"", ""dnsmasq"": ""default""}",true,false
