name,description,packagelist,default,uservisible
"PostgreSQL Database,PostgreSQL 数据库","This package group includes packages useful for use with PostgreSQL.,该软件包组包括有助于使用 Postgresql 的软件包。","{""postgresql"": ""mandatory"", ""perl-DBD-Pg"": ""default"", ""postgresql-server"": ""default"", ""unixODBC"": ""default"", ""postgresql-contrib"": ""optional"", ""postgresql-docs"": ""optional"", ""postgresql-odbc"": ""optional"", ""postgresql-test"": ""optional""}",true,true
"Standard,标准","Common set of utilities that extend the minimal installation.,扩展了最小化安装的常见实用工具集。","{""zsh"": ""optional""}",true,false
"System Tools,系统工具","This group is a collection of various tools for the system, such as the client for connecting to SMB shares and tools to monitor network traffic.,这组软件包是各类系统工具的集合，如：连接 SMB 共享的客户；监控网络交通的工具。","{""netconsole-service"": ""optional""}",true,true
"Virtualization Client,虚拟化客户端","Clients for installing and managing virtualization instances.,用于安装和管理虚拟化事件的客户端。","{""virt-install"": ""mandatory"", ""virt-manager"": ""mandatory"", ""virt-viewer"": ""mandatory"", ""virt-top"": ""default"", ""guestfs-tools"": ""optional"", ""libguestfs-inspect-icons"": ""optional"", ""virt-win-reg"": ""optional""}",true,true
"Virtualization Hypervisor,虚拟化 Hypervisor","Smallest possible virtualization host installation.,最小的虚拟化主机安装。","{""libvirt"": ""mandatory"", ""qemu-kvm"": ""mandatory""}",true,true
"Virtualization Platform,虚拟化平台","Provides an interface for accessing and controlling virtualized guests.,提供用来访问和控制虚拟机的接口。","{""libvirt"": ""mandatory"", ""libvirt-client"": ""mandatory"", ""fence-virtd-libvirt"": ""optional"", ""fence-virtd-multicast"": ""optional"", ""fence-virtd-serial"": ""optional""}",true,false
"Virtualization Tools,虚拟化工具","Tools for offline virtual image management.,用于离线虚拟映像管理的工具。","{""libguestfs"": ""default"", ""guestfs-tools"": ""optional"", ""libguestfs-inspect-icons"": ""optional"", ""virt-win-reg"": ""optional""}",true,false
"Basic Web Server,基本网页服务器","These tools allow you to run a Web server on the system.,这些工具允许您在系统上运行万维网服务器。","{""httpd"": ""mandatory"", ""mod_fcgid"": ""default"", ""mod_ssl"": ""default"", ""memcached"": ""optional"", ""mod_auth_gssapi"": ""optional"", ""mod_security"": ""optional"", ""mod_security-mlogc"": ""optional"", ""mod_security_crs"": ""optional""}",true,false
"Workstation product core,工作站产品核心","Packages mandatory for the workstation product.,工作站产品必需的软件包。","{""zip"": ""mandatory""}",true,false
"Dial-up Networking Support,拨号网络支持",",","{""ppp"": ""mandatory"", ""ModemManager"": ""default"", ""NetworkManager-adsl"": ""default"", ""lrzsz"": ""default"", ""minicom"": ""default""}",true,false
"File and Storage Server,文件及存储服务器","CIFS, SMB, NFS, iSCSI, iSER, and iSNS network storage server.,CIFS, SMB, NFS, iSCSI, iSER 及 iSNS 网络存储服务器。","{""cifs-utils"": ""mandatory"", ""gssproxy"": ""mandatory"", ""nfs-utils"": ""mandatory"", ""nfs4-acl-tools"": ""mandatory"", ""samba"": ""mandatory"", ""isns-utils"": ""optional""}",true,false
"Graphical Administration Tools,图形管理工具","Graphical system administration tools for managing many aspects of a system.,用于管理系统各个方面的图形系统管理工具。","{""setools-console"": ""optional""}",true,false
"Hardware Support,硬件支持","This group is a collection of tools for various hardware specific utilities.,这个组包括了一系列与特定硬件相关的工具程序。","{""bolt"": ""default"", ""netronome-firmware"": ""default"", ""usb_modeswitch"": ""default"", ""lsscsi"": ""optional"", ""opensc"": ""optional"", ""openssl-pkcs11"": ""optional"", ""pcsc-lite"": ""optional"", ""pcsc-lite-ccid"": ""optional""}",true,false
"Large Systems Performance,大系统性能","Performance support tools for large systems.,用于大型系统的性能支持工具。","{""numactl"": ""mandatory"", ""numad"": ""mandatory"", ""hwloc"": ""default"", ""numatop"": ""optional""}",true,false
"Server product core,服务器产品核心","Packages mandatory for the server product.,服务器产品必需的软件包。","{""chrony"": ""mandatory"", ""opencloudos-release"": ""mandatory"", ""polkit"": ""mandatory"", ""realmd"": ""mandatory"", ""NetworkManager-config-server"": ""default""}",true,false
"Smart Card Support,智能卡支持","Support for using smart card authentication.,支持使用智能卡验证。","{""pcsc-lite-ccid"": ""default"", ""opencryptoki"": ""optional"", ""opencryptoki-icsftok"": ""optional"", ""opencryptoki-swtok"": ""optional"", ""opensc"": ""optional"", ""openssl-pkcs11"": ""optional""}",true,false
"Windows File Server,Windows 文件服务器","This package group allows you to share files between Linux and MS Windows(tm) systems.,该软件包组允许您在 Linux 和 MS Windows(tm) 系统间共享文件。","{""samba"": ""mandatory"", ""samba-client"": ""mandatory"", ""cifs-utils"": ""default""}",true,false
