name,description,packagelist,default,uservisible
"Buildsystem building group,Buildsystem 构建组",",","{""bash"": ""mandatory"", ""bzip2"": ""mandatory"", ""coreutils"": ""mandatory"", ""cpio"": ""mandatory"", ""diffutils"": ""mandatory"", ""fedora-release-common"": ""mandatory"", ""findutils"": ""mandatory"", ""gawk"": ""mandatory"", ""glibc-minimal-langpack"": ""mandatory"", ""grep"": ""mandatory"", ""gzip"": ""mandatory"", ""info"": ""mandatory"", ""patch"": ""mandatory"", ""redhat-rpm-config"": ""mandatory"", ""rpm-build"": ""mandatory"", ""sed"": ""mandatory"", ""shadow-utils"": ""mandatory"", ""tar"": ""mandatory"", ""unzip"": ""mandatory"", ""util-linux"": ""mandatory"", ""which"": ""mandatory"", ""xz"": ""mandatory""}",false,false
"C Development Tools and Libraries,C 语言开发工具和库","These tools include core development tools such as automake, gcc and debuggers.,这些工具包括了核心开发工具，如 automake，gcc 和 debuggers 等。","{""autoconf"": ""mandatory"", ""automake"": ""mandatory"", ""binutils"": ""mandatory"", ""bison"": ""mandatory"", ""flex"": ""mandatory"", ""gcc"": ""mandatory"", ""gcc-c++"": ""mandatory"", ""gdb"": ""mandatory"", ""glibc-devel"": ""mandatory"", ""libtool"": ""mandatory"", ""make"": ""mandatory"", ""pkgconf"": ""mandatory"", ""strace"": ""mandatory"", ""byacc"": ""default"", ""ccache"": ""default"", ""cscope"": ""default"", ""ctags"": ""default"", ""elfutils"": ""default"", ""indent"": ""default"", ""ltrace"": ""default"", ""perf"": ""default"", ""valgrind"": ""default"", ""ElectricFence"": ""optional"", ""astyle"": ""optional"", ""cbmc"": ""optional"", ""check"": ""optional"", ""cmake"": ""optional"", ""coan"": ""optional"", ""cproto"": ""optional"", ""insight"": ""optional"", ""nasm"": ""optional"", ""pscan"": ""optional"", ""python3-scons"": ""optional"", ""remake"": ""optional"", ""scorep"": ""optional"", ""splint"": ""optional"", ""yasm"": ""optional"", ""zzuf"": ""optional""}",false,true
"Cinnamon,Cinnamon","Cinnamon provides a desktop with a traditional layout, advanced features, easy to use, powerful and flexible.,Cinnamon 提供一个具有传统布局，功能丰富，使用方便且灵活的桌面环境。","{""NetworkManager-adsl"": ""mandatory"", ""NetworkManager-bluetooth"": ""mandatory"", ""NetworkManager-iodine-gnome"": ""mandatory"", ""NetworkManager-l2tp-gnome"": ""mandatory"", ""NetworkManager-libreswan-gnome"": ""mandatory"", ""NetworkManager-openconnect-gnome"": ""mandatory"", ""NetworkManager-openvpn-gnome"": ""mandatory"", ""NetworkManager-ppp"": ""mandatory"", ""NetworkManager-pptp-gnome"": ""mandatory"", ""NetworkManager-vpnc-gnome"": ""mandatory"", ""NetworkManager-wifi"": ""mandatory"", ""NetworkManager-wwan"": ""mandatory"", ""abrt-desktop"": ""mandatory"", ""abrt-java-connector"": ""mandatory"", ""blueman"": ""mandatory"", ""cinnamon"": ""mandatory"", ""cinnamon-control-center"": ""mandatory"", ""cinnamon-screensaver"": ""mandatory"", ""dnfdragora-updater"": ""mandatory"", ""eom"": ""mandatory"", ""firefox"": ""mandatory"", ""firewall-config"": ""mandatory"", ""gnome-calculator"": ""mandatory"", ""gnome-disk-utility"": ""mandatory"", ""gnome-screenshot"": ""mandatory"", ""gnome-system-monitor"": ""mandatory"", ""gnome-terminal"": ""mandatory"", ""gstreamer1-plugins-ugly-free"": ""mandatory"", ""gvfs-archive"": ""mandatory"", ""gvfs-gphoto2"": ""mandatory"", ""gvfs-mtp"": ""mandatory"", ""gvfs-smb"": ""mandatory"", ""hexchat"": ""mandatory"", ""imsettings-gsettings"": ""mandatory"", ""initial-setup-gui"": ""mandatory"", ""metacity"": ""mandatory"", ""mpv"": ""mandatory"", ""nemo-fileroller"": ""mandatory"", ""nemo-image-converter"": ""mandatory"", ""nemo-preview"": ""mandatory"", ""nm-connection-editor"": ""mandatory"", ""paper-icon-theme"": ""mandatory"", ""pidgin"": ""mandatory"", ""pipewire-alsa"": ""mandatory"", ""pipewire-pulseaudio"": ""mandatory"", ""powerline"": ""mandatory"", ""qgnomeplatform-qt5"": ""mandatory"", ""redshift-gtk"": ""mandatory"", ""sane-backends-drivers-scanners"": ""mandatory"", ""setroubleshoot"": ""mandatory"", ""shotwell"": ""mandatory"", ""simple-scan"": ""mandatory"", ""slick-greeter"": ""mandatory"", ""slick-greeter-cinnamon"": ""mandatory"", ""system-config-printer"": ""mandatory"", ""thunderbird"": ""mandatory"", ""tmux"": ""mandatory"", ""tmux-powerline"": ""mandatory"", ""totem-video-thumbnailer"": ""mandatory"", ""transmission"": ""mandatory"", ""vim-powerline"": ""mandatory"", ""xawtv"": ""mandatory"", ""xdg-user-dirs-gtk"": ""mandatory"", ""xed"": ""mandatory"", ""xfburn"": ""mandatory"", ""xreader"": ""mandatory"", ""wireplumber"": ""default""}",false,false
"Bootloader tools for Cloud images,","Bootloader software for images that run in ""cloud"" environments,","{""efibootmgr"": ""mandatory"", ""grub2-efi-ia32"": ""mandatory"", ""grub2-efi-x64"": ""mandatory"", ""grub2-pc"": ""mandatory"", ""grub2-tools"": ""mandatory"", ""grub2-tools-efi"": ""mandatory"", ""grub2-tools-extra"": ""mandatory"", ""shim-ia32"": ""mandatory"", ""shim-x64"": ""mandatory""}",false,false
"Cloud Infrastructure,云计算基础","Infrastructure packages for cloud computing.,适用于云计算的基础软件包。","{""ceph"": ""optional"", ""glusterfs"": ""optional"", ""imagefactory"": ""optional"", ""sheepdog"": ""optional""}",false,true
"Cloud Management Tools,云管理工具","Software to manage servers and system images that run in ""cloud"" environments,用于管理运行在云环境中的服务器和系统镜像的软件","{""cloud-utils"": ""default"", ""imagefactory"": ""default"", ""imagefactory-plugins"": ""default"", ""imagefactory-plugins-TinMan"": ""default"", ""python3-boto"": ""default"", ""python3-libcloud"": ""default"", ""python3-openstackclient"": ""optional""}",false,true
"Cloud Server Tools,云端服务器工具","Software for servers and system images that run in ""cloud"" environments,为运行在 ""cloud"" 环境中的服务器和系统镜像提供的软件","{""cloud-init"": ""mandatory"", ""cloud-utils-growpart"": ""mandatory"", ""dracut-config-generic"": ""mandatory"", ""grubby"": ""mandatory"", ""rsync"": ""mandatory"", ""tar"": ""mandatory"", ""chrony"": ""default"", ""console-login-helper-messages-issuegen"": ""default"", ""console-login-helper-messages-motdgen"": ""default"", ""console-login-helper-messages-profile"": ""default"", ""fedora-release-cloud"": ""default"", ""systemd-oomd-defaults"": ""default""}",false,false
"Compiz,Compiz","This package group adds Compiz and Emerald,该软件包组添加了 Compiz 和 Emerald","{""ccsm"": ""mandatory"", ""compiz"": ""mandatory"", ""compiz-bcop"": ""mandatory"", ""compiz-manager"": ""mandatory"", ""compiz-plugins-experimental"": ""mandatory"", ""compiz-plugins-extra"": ""mandatory"", ""compiz-plugins-main"": ""mandatory"", ""compizconfig-python"": ""mandatory"", ""emerald"": ""mandatory"", ""emerald-themes"": ""mandatory"", ""fusion-icon"": ""mandatory"", ""libcompizconfig"": ""mandatory"", ""simple-ccsm"": ""mandatory""}",false,true
"Critical Path (anaconda),","A set of packages that provide the Critical Path functionality for installing Fedora with anaconda,","{""anaconda-install-env-deps"": ""mandatory""}",false,false
"Critical Path (Applications),关键路径（应用程序）","A set of applications that are considered critical path,一组被视为关键路径的应用程序","{""firefox"": ""default""}",false,false
